Date, Chemicals,Coal,Petrol,Vehicles
Jan-1983,13.516,62.454,15.468, 9.703
Feb-1983,14.640,60.394,14.425,11.560
Mar-1983,15.590,68.553,15.026,12.127
Apr-1983,14.763,61.552,15.659,11.729
May-1983,15.501,62.916,16.073,12.571
Jun-1983,16.344,61.445,17.092,13.710
Jul-1983,13.935,54.904,16.829, 9.897
Aug-1983,15.188,72.891,16.896,11.304
Sep-1983,16.894,69.927,16.987,13.493
Oct-1983,15.551,71.340,16.200,14.372
Nov-1983,15.360,68.272,15.864,14.226
Dec-1983,15.927,63.354,16.051,12.593
Jan-1984,15.563,67.622,15.166,14.620
Feb-1984,16.485,73.408,15.294,16.005
Mar-1984,17.592,81.232,16.176,16.683
Apr-1984,17.036,72.511,16.291,15.487
May-1984,17.091,80.676,15.918,15.684
Jun-1984,17.861,76.094,16.349,15.962
Jul-1984,15.408,74.381,15.730,12.000
Aug-1984,16.329,90.365,15.551,13.769
Sep-1984,17.277,78.538,16.322,14.031
Oct-1984,15.855,69.419,15.427,16.078
Nov-1984,15.434,64.039,15.418,15.827
Dec-1984,16.299,63.475,15.371,13.149
Jan-1985,15.911,67.921,13.610,15.969
Feb-1985,16.618,66.897,14.160,16.628
Mar-1985,17.756,77.347,14.792,16.670
Apr-1985,17.138,76.241,15.252,16.487
May-1985,16.739,77.979,15.221,16.883
Jun-1985,17.663,72.731,15.651,16.201
Jul-1985,14.980,68.821,14.884,12.168
Aug-1985,15.933,79.212,15.253,14.010
Sep-1985,17.163,73.596,14.825,16.556
Oct-1985,15.903,79.711,14.776,17.404
Nov-1985,15.314,68.881,15.449,16.435
Dec-1985,16.194,69.593,15.262,13.123
Jan-1986,16.246,77.804,13.937,16.744
Feb-1986,16.943,72.209,12.002,17.410
Mar-1986,17.069,77.078,10.834,16.484
Apr-1986,17.320,74.333,10.568,17.103
May-1986,16.421,72.568,11.049,17.301
Jun-1986,16.979,72.071,10.246,17.301
Jul-1986,14.749,67.253, 9.413,12.843
Aug-1986,16.141,75.912, 9.682,13.748
Sep-1986,17.461,74.407, 9.671,16.904
Oct-1986,15.934,79.412, 8.991,17.342
Nov-1986,15.581,69.774, 9.224,15.476
Dec-1986,16.246,73.201, 9.261,15.424
Jan-1987,16.394,74.473, 9.289,15.988
Feb-1987,17.353,71.447, 9.333,19.244
Mar-1987,17.887,75.609, 9.663,18.715
Apr-1987,17.784,70.768, 9.907,17.780
May-1987,17.959,70.436,10.318,17.160
Jun-1987,18.705,76.780,10.772,17.349
Jul-1987,16.474,69.427,11.194,11.171
Aug-1987,17.652,80.348,11.176,13.438
Sep-1987,19.064,82.118,10.952,16.713
Oct-1987,17.780,85.630,10.984,18.369
Nov-1987,17.600,78.919,10.699,17.067
Dec-1987,18.053,79.246,10.241,14.055
Jan-1988,19.957,75.364,10.257,15.500
Feb-1988,20.942,76.778,10.047,18.475
Mar-1988,22.343,83.964,10.606,19.423
Apr-1988,22.053,75.351,10.891,18.686
May-1988,21.286,73.979,11.160,19.646
Jun-1988,22.504,76.448,11.651,19.733
Jul-1988,20.243,69.198,11.500,12.605
Aug-1988,21.897,88.206,11.713,16.616
Sep-1988,22.816,83.272,11.004,19.156
Oct-1988,21.879,80.853,10.860,21.348
Nov-1988,21.676,82.973,10.853,20.049
Dec-1988,22.102,80.324,10.873,18.020
Jan-1989,22.459,81.969,10.590,20.262
Feb-1989,23.136,75.040,10.728,21.789
Mar-1989,23.686,88.981,11.354,20.603
Apr-1989,23.971,77.145,12.618,21.928
May-1989,23.244,82.486,12.712,21.025
Jun-1989,24.264,78.544,13.077,19.346
Jul-1989,21.819,66.269,12.384,11.786
Aug-1989,22.661,90.824,12.350,19.082
Sep-1989,23.602,84.618,12.625,20.127
Oct-1989,22.187,89.574,12.777,20.217
Nov-1989,21.805,86.965,12.357,20.385
Dec-1989,22.353,72.554,12.738,16.653
Jan-1990,22.131,90.276,13.268,13.065
Feb-1990,23.190,81.756,12.571,20.275
Mar-1990,24.548,91.292,12.442,21.776
Apr-1990,24.252,82.880,12.687,20.260
May-1990,23.506,86.200,12.995,22.523
Jun-1990,24.736,84.276,13.039,23.033
Jul-1990,22.049,79.535,13.035,14.133
Aug-1990,24.493,91.515,16.683,20.110
Sep-1990,25.487,82.813,18.752,19.682
Oct-1990,24.260,93.078,19.604,22.197
Nov-1990,23.929,86.461,18.201,17.212
Dec-1990,23.031,75.487,16.080,11.784
Jan-1991,23.701,85.810,14.935,15.467
Feb-1991,24.205,82.592,13.261,17.002
Mar-1991,24.200,85.012,12.838,15.952
Apr-1991,24.971,79.324,13.509,18.767
May-1991,24.560,79.917,14.352,20.605
Jun-1991,24.992,76.896,14.136,19.809
Jul-1991,22.566,79.720,13.672,14.233
Aug-1991,24.037,88.818,14.394,19.311
Sep-1991,25.047,81.504,14.406,20.827
Oct-1991,24.115,90.230,14.587,23.388
Nov-1991,23.034,81.644,14.271,20.181
Dec-1991,22.590,79.244,12.981,14.344
